,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
0,14990838,20000000,899,927,0.4065,0.1448,0.0864,0.000712,1.29,2.16,2012-01-22,Gw21ljO,"pro_A_28 = oth460_es_ebit_fy1_d1m_l1;stock_A_28 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_28 = group_zscore(ts_ir(returns, 252), industry);alpha_A_28 = vector_neut(stock_A_28, factor_A_28);signal_A_28 = trade_when(pro_A_28<=0.5, alpha_A_28, pro_A_28>0.5);entry_B_21 = ts_rank( ts_std_dev(oth460_1l_ccns, 21), 252 ); maintenance_B_21 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_size, 1), 252); quit_B_21 = entry_B_21 < 0.5;signal_B_21 =  trade_when(entry_B_21>0.55, maintenance_B_21, quit_B_21);add(scale_down(signal_A_28), scale_down(signal_B_21), filter = false)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
1,15560946,20000000,762,803,0.5623,0.1503,0.0606,0.000534,1.28,2.48,2012-01-22,EwjOlPP,"pro_A_28 = oth460_es_ebit_fy1_d1m_l1;stock_A_28 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_28 = group_zscore(ts_ir(returns, 252), industry);alpha_A_28 = vector_neut(stock_A_28, factor_A_28);signal_A_28 = trade_when(pro_A_28<=0.5, alpha_A_28, pro_A_28>0.5);entry_B_20 = ts_rank( ts_std_dev(oth460_clv_class, 21), 252 ); maintenance_B_20 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_size, 1), 252); quit_B_20 = entry_B_20 < 0.5;signal_B_20 =  trade_when(entry_B_20>0.55, maintenance_B_20, quit_B_20);add(scale_down(signal_A_28), scale_down(signal_B_20), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
2,16007770,20000000,465,481,0.3972,0.1546,0.0937,0.000778,1.28,2.05,2012-01-22,6wWmlWP,"pro_A_28 = oth460_es_ebit_fy1_d1m_l1;stock_A_28 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_28 = group_zscore(ts_ir(returns, 252), industry);alpha_A_28 = vector_neut(stock_A_28, factor_A_28);signal_A_28 = trade_when(pro_A_28<=0.5, alpha_A_28, pro_A_28>0.5);entry_B_22 = ts_rank( ts_std_dev(oth460_fprd_class, 21), 252 ); maintenance_B_22 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_srtindcnt, 1), 252); quit_B_22 = entry_B_22 < 0.5;signal_B_22 =  trade_when(entry_B_22>0.55, maintenance_B_22, quit_B_22);add(scale_down(signal_A_28), scale_down(signal_B_22), filter = false)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
3,16257181,20000000,460,474,0.4234,0.157,0.1071,0.000741,1.25,2.05,2012-01-22,xxLOewb,"pro_A_27 = oth460_es_roe_fy1_d1m_l1;stock_A_27 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_27 = group_zscore(ts_ir(returns, 252), industry);alpha_A_27 = regression_neut(stock_A_27, factor_A_27);signal_A_27 = trade_when(pro_A_27<=0.5, alpha_A_27, pro_A_27>0.5);entry_B_22 = ts_rank( ts_std_dev(oth460_fprd_class, 21), 252 ); maintenance_B_22 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_srtindcnt, 1), 252); quit_B_22 = entry_B_22 < 0.5;signal_B_22 =  trade_when(entry_B_22>0.55, maintenance_B_22, quit_B_22);add(scale_down(signal_A_27), scale_down(signal_B_22), filter = false)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
4,14944028,20000000,888,915,0.434,0.1443,0.0844,0.000665,1.23,2.13,2012-01-22,lVnp7JN,"pro_A_27 = oth460_es_roe_fy1_d1m_l1;stock_A_27 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_27 = group_zscore(ts_ir(returns, 252), industry);alpha_A_27 = regression_neut(stock_A_27, factor_A_27);signal_A_27 = trade_when(pro_A_27<=0.5, alpha_A_27, pro_A_27>0.5);entry_B_21 = ts_rank( ts_std_dev(oth460_1l_ccns, 21), 252 ); maintenance_B_21 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_size, 1), 252); quit_B_21 = entry_B_21 < 0.5;signal_B_21 =  trade_when(entry_B_21>0.55, maintenance_B_21, quit_B_21);add(scale_down(signal_A_27), scale_down(signal_B_21), filter = false)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
5,15939527,20000000,459,476,0.4105,0.1539,0.1125,0.00075,1.22,2.0,2012-01-22,MpEMG26,"pro_A_29 = oth460_es_roe_fy1_d1m_l1;stock_A_29 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_29 = group_zscore(ts_ir(returns, 252), industry);alpha_A_29 = vector_neut(stock_A_29, factor_A_29);signal_A_29 = trade_when(pro_A_29<=0.5, alpha_A_29, pro_A_29>0.5);entry_B_22 = ts_rank( ts_std_dev(oth460_fprd_class, 21), 252 ); maintenance_B_22 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_srtindcnt, 1), 252); quit_B_22 = entry_B_22 < 0.5;signal_B_22 =  trade_when(entry_B_22>0.55, maintenance_B_22, quit_B_22);add(scale_down(signal_A_29), scale_down(signal_B_22), filter = false)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
6,15252992,20000000,733,712,0.4471,0.1473,0.1227,0.000659,1.2,2.09,2012-01-22,7w57a18,"pro_A_25 = oth460_1l_fbds;stock_A_25 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_25 = group_zscore(ts_ir(returns, 252), industry);alpha_A_25 = vector_neut(stock_A_25, factor_A_25);signal_A_25 = trade_when(pro_A_25<=0.5, alpha_A_25, pro_A_25>0.5);entry_B_21 = ts_rank( ts_std_dev(oth460_1l_ccns, 21), 252 ); maintenance_B_21 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_size, 1), 252); quit_B_21 = entry_B_21 < 0.5;signal_B_21 =  trade_when(entry_B_21>0.55, maintenance_B_21, quit_B_21);add(scale_down(signal_A_25), scale_down(signal_B_21), filter = false)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
7,16391414,20000000,391,380,0.4353,0.1583,0.1212,0.000727,1.2,1.99,2012-01-22,WpZ1aGx,"pro_A_25 = oth460_1l_fbds;stock_A_25 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_25 = group_zscore(ts_ir(returns, 252), industry);alpha_A_25 = vector_neut(stock_A_25, factor_A_25);signal_A_25 = trade_when(pro_A_25<=0.5, alpha_A_25, pro_A_25>0.5);entry_B_22 = ts_rank( ts_std_dev(oth460_fprd_class, 21), 252 ); maintenance_B_22 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_srtindcnt, 1), 252); quit_B_22 = entry_B_22 < 0.5;signal_B_22 =  trade_when(entry_B_22>0.55, maintenance_B_22, quit_B_22);add(scale_down(signal_A_25), scale_down(signal_B_22), filter = false)",PASS,PASS,FAIL,PASS,PASS,PASS,PASS
8,15354033,20000000,755,792,0.5893,0.1483,0.0658,0.000503,1.2,2.4,2012-01-22,5wmnLRJ,"pro_A_27 = oth460_es_roe_fy1_d1m_l1;stock_A_27 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_27 = group_zscore(ts_ir(returns, 252), industry);alpha_A_27 = regression_neut(stock_A_27, factor_A_27);signal_A_27 = trade_when(pro_A_27<=0.5, alpha_A_27, pro_A_27>0.5);entry_B_20 = ts_rank( ts_std_dev(oth460_clv_class, 21), 252 ); maintenance_B_20 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_size, 1), 252); quit_B_20 = entry_B_20 < 0.5;signal_B_20 =  trade_when(entry_B_20>0.55, maintenance_B_20, quit_B_20);add(scale_down(signal_A_27), scale_down(signal_B_20), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
9,16097403,20000000,387,379,0.4349,0.1554,0.1124,0.000715,1.19,1.99,2012-01-22,xxLOPxw,"pro_A_26 = oth460_1l_fbbs;stock_A_26 = ts_zscore(ts_backfill(anl69_cps_best_eeps_cur_yr, 21),21);factor_A_26 = group_zscore(ts_ir(returns, 252), industry);alpha_A_26 = vector_neut(stock_A_26, factor_A_26);signal_A_26 = trade_when(pro_A_26<=0.5, alpha_A_26, pro_A_26>0.5);entry_B_22 = ts_rank( ts_std_dev(oth460_fprd_class, 21), 252 ); maintenance_B_22 = -ts_regression(rsk70_mfm2_gemtrd_srtindcnt, ts_delay(rsk70_mfm2_gemtrd_srtindcnt, 1), 252); quit_B_22 = entry_B_22 < 0.5;signal_B_22 =  trade_when(entry_B_22>0.55, maintenance_B_22, quit_B_22);add(scale_down(signal_A_26), scale_down(signal_B_22), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
