,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,is_ladder_sharpe,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover
0,5044610,20000000,3138,2993,0.0604,0.0487,0.0144,0.001612,2.01,3.22,2012-01-22,rl3NAlj,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_6 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2_Sep13GLB_6 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group_Sep13GLB_6 = pv13_6l_scibr;signal_Sep13GLB_6 = group_zscore(s1_Sep13GLB_6+s2_Sep13GLB_6, group_Sep13GLB_6);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_6), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
1,5023377,20000000,3137,2994,0.0604,0.0485,0.014,0.001607,1.99,3.19,2012-01-22,xk62Rdn,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_7 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2_Sep13GLB_7 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group_Sep13GLB_7 = pv13_6l_scibr;signal_Sep13GLB_7 = group_zscore(s1_Sep13GLB_7+s2_Sep13GLB_7, group_Sep13GLB_7);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_7), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
2,4865999,20000000,3445,3313,0.0561,0.047,0.0149,0.001676,1.97,3.22,2012-01-22,698ozMJ,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_2 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2_Sep13GLB_2 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group_Sep13GLB_2 = pv13_10_minvol_1m_sector;signal_Sep13GLB_2 = group_zscore(s1_Sep13GLB_2+s2_Sep13GLB_2, group_Sep13GLB_2);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_2), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
3,4929703,20000000,3194,3051,0.0592,0.0476,0.0151,0.00161,1.94,3.14,2012-01-22,j0EP169,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_8 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2_Sep13GLB_8 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group_Sep13GLB_8 = pv13_5l_scibr;signal_Sep13GLB_8 = group_zscore(s1_Sep13GLB_8+s2_Sep13GLB_8, group_Sep13GLB_8);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_8), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
4,4814269,20000000,3444,3313,0.0537,0.0465,0.0158,0.00173,1.94,3.18,2012-01-22,d0X3dKw,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_0 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2_Sep13GLB_0 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group_Sep13GLB_0 = pv13_20_minvol_1m_sector;signal_Sep13GLB_0 = group_zscore(s1_Sep13GLB_0+s2_Sep13GLB_0, group_Sep13GLB_0);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_0), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
5,4797015,20000000,3445,3314,0.0558,0.0463,0.0143,0.001659,1.92,3.15,2012-01-22,d0X3d9Y,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_4 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2_Sep13GLB_4 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group_Sep13GLB_4 = pv13_10_minvol_1m_sector;signal_Sep13GLB_4 = group_zscore(s1_Sep13GLB_4+s2_Sep13GLB_4, group_Sep13GLB_4);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_4), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
6,4898081,20000000,3194,3053,0.059,0.0473,0.0147,0.001602,1.91,3.1,2012-01-22,5ObAzM5,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_9 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2_Sep13GLB_9 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group_Sep13GLB_9 = pv13_5l_scibr;signal_Sep13GLB_9 = group_zscore(s1_Sep13GLB_9+s2_Sep13GLB_9, group_Sep13GLB_9);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_9), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
7,4749774,20000000,3444,3314,0.0534,0.0459,0.0153,0.001717,1.89,3.12,2012-01-22,xk62RvN,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_3 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2_Sep13GLB_3 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group_Sep13GLB_3 = pv13_20_minvol_1m_sector;signal_Sep13GLB_3 = group_zscore(s1_Sep13GLB_3+s2_Sep13GLB_3, group_Sep13GLB_3);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_3), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
8,4605266,20000000,3294,3155,0.0494,0.0445,0.0167,0.001802,1.76,2.95,2012-01-22,9rvdJxV,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_1 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2_Sep13GLB_1 = ts_zscore (ts_backfill (vec_avg(oth193_shield2), 252), 252);group_Sep13GLB_1 = pv13_1l_scibr;signal_Sep13GLB_1 = group_zscore(s1_Sep13GLB_1+s2_Sep13GLB_1, group_Sep13GLB_1);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_1), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
9,4554269,20000000,3293,3155,0.0491,0.044,0.0165,0.001792,1.71,2.89,2012-01-22,JOwWbWl,"group_Sep03GLB_0 = (country+1)*group_max(pv13_52_minvol_1m_all_delay_1_sector, market) + pv13_52_minvol_1m_all_delay_1_sector;signal_Sep03GLB_0 = group_neutralize(ts_scale(group_backfill(fnd23_intfvalld1_ecns, industry, 252, std=1), 252), densify(group_Sep03GLB_0));s1_Sep13GLB_5 = ts_zscore (ts_backfill (vec_avg(mdl139_score), 252), 252);s2_Sep13GLB_5 = ts_zscore (ts_backfill (vec_avg(oth193_shield), 252), 252);group_Sep13GLB_5 = pv13_1l_scibr;signal_Sep13GLB_5 = group_zscore(s1_Sep13GLB_5+s2_Sep13GLB_5, group_Sep13GLB_5);add(scale_down(signal_Sep03GLB_0), scale_down(signal_Sep13GLB_5), filter = false)",PASS,PASS,PASS,PASS,PASS,PASS,PASS
